Unnamed: 0,name_of_the_fund_lst,aum_funds_individual_lst,nav_funds_individual_lst,Exit_Load_lst,rating_of_funds_individual_lst,minimum_funds_individual_lst,pe,pb,debt_per,equity_per,average_maturity,yield_to_maturity,name_of_the_fund,risk_of_the_fund,type_of_fund,one_year_returns,three_year_returns,five_year_returns,link_of_the_funds
0,Quant Small Cap Fund Direct Plan Growth,"₹1,711.78Cr",127.22,Exit load of 1% if redeemed within 1 year,4,1711.78,16.61336668,2.02145208,1.05,98.95,1215.45,6.21,Quant Small Cap Fund Direct Plan Growth,Very High,Equity,-0.69,42.73,20.19,https://groww.in/mutual-funds/quant-small-cap-fund-direct-plan-growth
1,Bank of India Small Cap Fund Direct Growth,₹294.47Cr,25.97,Exit load of 1% if redeemed within 1 year for units beyond 10% of the investment.,5,294.47,33.42012974,5.06463439,7.399999999999999,92.6,,,Bank of India Small Cap Fund Direct Growth,Very High,Equity,2.97,37.23,,https://groww.in/mutual-funds/boi-axa-small-cap-fund-direct-growth
2,PGIM India Midcap Opportunities Fund Direct Growth,"₹5,168.64Cr",46.03,0.5% for redemption within 90 days,5,5168.64,26.0818861,3.47577806,8.06,91.94,,,PGIM India Midcap Opportunities Fund Direct Growth,Very High,Equity,10.78,37.09,18.75,https://groww.in/mutual-funds/pgim-india-midcap-opportunities-fund-direct-growth
3,Canara Robeco Small Cap Fund Direct Growth,"₹2,621.20Cr",24.46,Exit load of 1% if redeemed within 1 year.,5,2621.2,22.5961592,2.98449508,8.96000001,91.04,,,Canara Robeco Small Cap Fund Direct Growth,Very High,Equity,15.81,36.78,,https://groww.in/mutual-funds/canara-robeco-small-cap-fund-direct-growth
4,Quant Tax Plan Direct Growth,"₹1,370.20Cr",233.07,Nil,5,500.0,16.71097355,2.23070022,0.66,99.34,,,Quant Tax Plan Direct Growth,Very High,Equity,7.91,35.06,21.56,https://groww.in/mutual-funds/quant-tax-plan-direct-growth
5,Quant Infrastructure Fund Direct Growth,₹539.75Cr,21.59,Exit load of 0.50% if redeemed within 3 months.,5,539.75,16.53607639,2.08848159,1.17958247,98.82039881,,,Quant Infrastructure Fund Direct Growth,Very High,Equity,19.82,34.5,21.95,https://groww.in/mutual-funds/quant-infrastructure-fund-direct-growth
6,Quant Mid Cap Fund Direct Growth,₹534.94Cr,128.55,Exit load of 0.50% if redeemed within 3 months.,5,534.94,16.11984595,2.11624801,1.41266758,98.58731352,,,Quant Mid Cap Fund Direct Growth,Very High,Equity,12.19,34.07,19.94,https://groww.in/mutual-funds/quant-mid-cap-fund-direct-growth
7,Kotak Small Cap Fund Direct Growth,"₹7,079.71Cr",175.76,"For units in excess of 10% of the investment,1% will be charged for redemption within 365 days",4,7079.71,28.3163262,4.28475318,7.1,92.9,,,Kotak Small Cap Fund Direct Growth,Very High,Equity,7.43,33.98,17.36,https://groww.in/mutual-funds/kotak-midcap-fund-direct-growth
8,Edelweiss Small Cap Fund Direct Growth,"₹1,084.85Cr",24.47,Exit load of 1% if units are redeemed within 365 days.,4,500.0,24.16229991,3.32539592,3.28,96.72,,,Edelweiss Small Cap Fund Direct Growth,Very High,Equity,7.83,32.46,,https://groww.in/mutual-funds/edelweiss-small-cap-fund-direct-growth
9,Nippon India Small Cap Fund Direct Growth,"₹18,358.16Cr",90.64,Exit load of 1% if redeemed within one month.,4,100.0,21.07833252,2.78746699,3.24,96.76455057,,,Nippon India Small Cap Fund Direct Growth,Very High,Equity,9.77,31.83,17.41,https://groww.in/mutual-funds/nippon-india-small-cap-fund-direct-growth
10,Union Small Cap Fund Direct Growth,₹577.45Cr,30.21,1% exit load if redeemed within 15 days.,3,577.45,36.83054267,5.12941058,4.88,95.12,,,Union Small Cap Fund Direct Growth,Very High,Equity,5.01,31.72,14.31,https://groww.in/mutual-funds/union-small-and-midcap-fund-direct-growth
11,Quant Active Fund Direct Growth,"₹2,311.96Cr",416.00,Nil,,2311.96,16.01028447,2.09695044,1.25,98.75,,,Quant Active Fund Direct Growth,Very High,Equity,7.21,31.49,21.22,https://groww.in/mutual-funds/quant-active-fund-direct-growth
12,ICICI Prudential Technology Direct Plan Growth,"₹8,508.13Cr",138.64,Exit load of 1% if redeemed within 15 days,,100.0,24.44764948,5.43862454,6.78082094,93.21917886,,,ICICI Prudential Technology Direct Plan Growth,Very High,Equity,-2.96,30.78,26.82,https://groww.in/mutual-funds/icici-prudential-technology-fund-direct-growth
13,Quant Flexi Cap Fund Direct Growth,₹408.77Cr,58.39,Nil,,408.77,16.15254876,2.01408866,1.04,98.96,,,Quant Flexi Cap Fund Direct Growth,Very High,Equity,1.53,30.61,16.65,https://groww.in/mutual-funds/quant-flexi-cap-fund-direct-growth
14,Mirae Asset Healthcare Fund Direct Growth,"₹1,628.78Cr",22.54,Exit load of 1% if redeemed within 1 year.,,1628.78,34.57663321,4.31867876,0.32288869,99.67711142,,,Mirae Asset Healthcare Fund Direct Growth,Very High,Equity,-7.74,30.6,,https://groww.in/mutual-funds/mirae-asset-healthcare-fund-direct-growth
15,Motilal Oswal Nasdaq 100 FOF Direct Growth,"₹3,286.38Cr",20.49,Nil,,3286.38,22.3103744,5.94023904,0.11488176,99.885117,,,Motilal Oswal Nasdaq 100 FOF Direct Growth,Very High,Other,13.7,30.44,,https://groww.in/mutual-funds/motilal-oswal-nasdaq-100-fof-direct-growth
16,Tata Small Cap Fund Direct Growth,"₹2,033.72Cr",22.19,"For units more than 12% of the investments, an exit load of 1% if redeemed within 12 months.",3,150.0,17.41387944,2.26032887,10.18000001,89.82,,,Tata Small Cap Fund Direct Growth,Very High,Equity,6.54,29.94,,https://groww.in/mutual-funds/tata-small-cap-fund-direct-growth
17,ICICI Prudential Smallcap Fund Direct Plan Growth,"₹3,564.76Cr",55.51,Exit load of 1% if redeemed upto 1 year,3,100.0,25.5781196,3.52781864,7.92061544,92.07938427,,,ICICI Prudential Smallcap Fund Direct Plan Growth,Very High,Equity,9.38,29.45,15.38,https://groww.in/mutual-funds/icici-prudential-indo-asia-equity-fund-direct-growth
18,Aditya Birla Sun Life Digital India Fund Direct Growth,"₹2,939.00Cr",119.56,Exit load of 1% if redeemed within 30 days.,,100.0,26.08525929,5.75461927,4.9329463,95.06705397,,,Aditya Birla Sun Life Digital India Fund Direct Growth,Very High,Equity,-5.19,29.35,25.72,https://groww.in/mutual-funds/birla-sun-life-new-millennium-direct-growth
19,DSP Healthcare Fund Direct Growth,"₹1,120.10Cr",21.51,Exit load of 1% if redeemed within 12 months.,,500.0,35.93095889,4.08303892,0.11,99.89,,,DSP Healthcare Fund Direct Growth,Very High,Equity,-8.26,28.98,,https://groww.in/mutual-funds/dsp-healthcare-fund-direct-growth
20,Axis Small Cap Fund Direct Growth,"₹8,955.50Cr",65.12,Exit load of 1% for investments beyond 10% if redeemed within 12 months,5,500.0,26.13898267,4.08175293,20.63,79.37889621,,,Axis Small Cap Fund Direct Growth,Very High,Equity,8.37,28.89,19.51,https://groww.in/mutual-funds/axis-small-cap-fund-direct-growth
